PIN2,HOUSE_UNIT,PROPERTY_TYPE
10253270320000,1,1
10253270330000,1,1
10253270340000,1,1
10253270350000,1,1
10253270360000,1,1
10253270370000,1,1
10253270380000,1,1
10253270390000,1,1
10253270400000,1,1
10253280081001,1,2
10253280081002,1,2
10253280081003,1,2
10253280081004,1,2
10253280081005,1,2
10253280081006,1,2
10253280081007,1,2
10253280081008,1,2
10253280081009,1,2
10253280081010,1,2
10253280081011,1,2
10253280081012,1,2
10253280081013,1,2
10253280081014,1,2
10253280081015,1,2
10253280081016,1,2
10253280081017,1,2
10253280081018,1,2
10253280081019,1,2
10253280081020,1,2
10253280081021,1,2
10253280081022,1,2
10253280081023,1,2
10253280081024,1,2
10253280081025,1,2
10253280081026,1,2
10253280081027,1,2
10253280081028,1,2
10253280081029,1,2
10253280081030,1,2
10253280081031,1,2
10253280081032,1,2
10253280081033,1,2
10253280081034,1,2
10253280081035,1,2
10253280081036,1,2
10253280081037,1,2
10253280081038,1,2
10253280081039,1,2
10253280081040,1,2
10253280081041,1,2
10253280081042,1,2
10253280081043,1,2
10253280081044,1,2
10253280081045,1,2
10253280081046,1,2
10253280081047,1,2
10253280081048,1,2
10253280081049,1,2
10253280081050,1,2
10253280081051,1,2
10253280081052,1,2
10253280081053,1,2
10253280081054,1,2
10253280081055,1,2
10253280081056,1,2
10253280081057,1,2
10253280081058,1,2
10253280081059,1,2
10253280081060,1,2
10253280130000,1,1
10253280140000,0,5
10253290030000,1,1
10253290040000,1,1
10253290050000,1,1
10253290060000,1,1
10253290070000,1,1
10253290080000,1,1
10253290090000,1,1
10253290100000,1,1
10253290130000,1,1
10253290140000,1,1
10253290150000,1,1
10253290160000,1,1
10253290170000,1,1
10253290180000,1,1
10253290190000,1,1
10253290200000,1,1
10253290230000,1,1
10253290240000,1,1
10253290250000,1,1
10253290260000,1,1
10253290270000,1,1
10253300010000,1,1
10253300020000,1,1
10253300050000,0,5
10253300060000,2,3
10253300090000,1,1
10253300100000,1,1
10253300110000,1,1
10253300120000,1,1
10253300130000,1,1
10253300140000,0,5
10253300150000,0,5
10253300160000,1,1
10253300170000,1,1
10253300180000,1,1
10253300190000,1,1
10253300200000,1,1
10253300210000,0,5
10253300220000,1,1
10253300230000,1,1
10253300240000,2,3
10253300250000,2,3
10253310030000,1,1
10253310040000,1,1
10253310060000,1,1
10253310070000,1,1
10253310080000,1,1
10253310090000,1,1
10253310100000,1,1
10253310110000,1,1
10253310120000,1,1
10253310130000,1,1
10253310140000,1,1
10253310150000,1,1
10253310160000,1,1
10253310170000,1,1
